USR_ID,CLIENT_TIME,SESSION_ID,TOY_AMOUNT,TOY_NAME,UNLOCK_CAUSE,ISNEWTOY,TOY_UNLOCKED_METHOD
u7070860001573646214,2024-04-02T17:46:49Z,5,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5218461603944611968,2024-04-02T17:46:58Z,4,2,SASHA_JAGUAR_VT082A,Toy Scan,1,Toy_Scan
u7371011968108910638,2024-04-02T17:47:20Z,2,0,GOKU_SSGSS_VTD05,Toy Scan,1,Toy_Scan
u7458753035953147128,2024-04-02T17:47:09Z,3,2,GUITAR_1_PARROCK_VTB45,QR Code,1,QR_Code
u2733646931798210399,2024-04-02T17:47:40Z,4,3,HIPPOPOTAMUS_VD300,Toy Scan,0,Toy_Scan
u259882311185923250,2024-04-02T17:47:48Z,2,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5566237758383233209,2024-04-02T17:45:38Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5566237758383233209,2024-04-02T17:45:38Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u3747446455010493108,2024-04-02T17:12:44Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3747446455010493108,2024-04-02T17:48:01Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4246264127389973136,2024-04-02T17:41:08Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8194494633579058734,2024-04-02T17:41:18Z,13,4,MUNCHY_VT085A,Free Gift,1,Free_Gift
u2099847723808553633,2024-04-02T17:41:32Z,1,0,PHOTOGRAPHER_GIRL_VTD02A,Deep_Link,1,Deeplink
u2373612196083283944,2024-04-02T17:40:17Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2373612196083283944,2024-04-02T17:40:42Z,3,2,Chloe_VU158,Toy Scan,0,Toy_Scan
u885955160440176543,2024-04-02T17:41:21Z,6,5,PUMA_VU350,Toy Scan,0,Toy_Scan
u1274964773210230647,2024-04-02T17:41:31Z,9,9,Shooting Star_VU117,Free Gift,1,Free_Gift
u6448744556595772424,2024-04-02T17:41:44Z,15,5,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u2099847723808553633,2024-04-02T17:41:56Z,1,1,Crown_VU192,Free Gift,1,Free_Gift
u6831320581817990421,2024-04-02T17:42:04Z,32,12,SPEED_VT175,Reward System,1,Reward_System
u6646971934162035066,2024-04-02T17:42:12Z,2,0,STAR_BOX_VT065,Toy Scan,1,Toy_Scan
u8641172954678587259,2024-04-02T17:41:47Z,2,2,BUNZ_VD282,Free Gift,1,Free_Gift
u6646971934162035066,2024-04-02T17:42:40Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3045345725688436176,2024-04-02T17:42:29Z,34,14,LIGHT_DEER_VU344C,Reward System,1,Reward_System
u4035680393223026630,2024-04-02T17:38:20Z,2,0,SPLOOSH_VD094,Deep_Link,1,Deeplink
u4035680393223026630,2024-04-02T17:41:57Z,4,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8587090489010031125,2024-04-02T17:42:39Z,1,0,TILTING_PAPA_TREX_VT052,Deep_Link,1,Deeplink
u4958459256817267141,2024-04-02T17:26:28Z,17,16,Robot Two_VU273,Reward System,1,Reward_System
u9037789107472577905,2024-04-02T17:42:57Z,3,0,SELFIE_EAGLE_VT103,QR Code,1,QR_Code
u7458753035953147128,2024-04-02T17:42:44Z,1,0,ELSA_WITH_BRUNI_VDF02,Deep_Link,1,Deeplink
u8825778842352676510,2024-04-02T17:43:05Z,1,0,ASTRONAUT_WITH_JETPACK_VTD03A,Deep_Link,1,Deeplink
u1801173812135141796,2024-04-02T17:43:07Z,14,9,UFO_HELMET DV334,Reward System,1,Reward_System
u6646971934162035066,2024-04-02T17:42:57Z,2,2,OCEAN_GIRL_VV329,Toy Scan,1,Toy_Scan
u8587090489010031125,2024-04-02T17:43:01Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u2911911087870552516,2024-04-02T17:43:16Z,2,0,SCORPION_VEHICLE_VTD18,QR Code,1,QR_Code
u6646971934162035066,2024-04-02T17:43:39Z,2,3,STAR_BOX_VT065,Toy Scan,0,Toy_Scan
u9037789107472577905,2024-04-02T17:43:53Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7458753035953147128,2024-04-02T17:43:53Z,2,1,ELSA_WITH_BRUNI_VDF02,QR Code,0,Deeplink
u8641172954678587259,2024-04-02T17:44:12Z,2,3,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4609687008898584203,2024-04-02T17:43:55Z,6,7,ZEBRA_VV114,Free Gift,1,Free_Gift
u4127341914705288104,2024-04-02T17:44:22Z,11,9,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u7606079353798937463,2024-04-02T17:44:27Z,8,23,Crown_VU192,Free Gift,1,Free_Gift
u5998386752107482319,2024-04-02T17:44:14Z,7,4,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u1079510738250690188,2024-04-02T03:06:45Z,3,2,BUNZ_VD282,Free Gift,1,Free_Gift
u5588141300771360202,2024-04-02T17:49:26Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7184562261199856390,2024-04-02T17:48:51Z,10,8,Crown_VU192,Free Gift,1,Free_Gift
u1079510738250690188,2024-04-02T17:49:52Z,4,3,Blue Cleaner_VU027,Toy Scan,0,Toy_Scan
u6166108363101366697,2024-04-02T17:49:55Z,5,3,ELARA_VD141,Reward System,1,Reward_System
u6832054549424046904,2024-04-02T17:49:52Z,19,6,ZEBRA_VV114,Free Gift,1,Free_Gift
u5998386752107482319,2024-04-02T17:50:22Z,7,5,Crown_VU192,Free Gift,1,Free_Gift
u3042506806102114020,2024-04-02T17:50:09Z,1,0,BATMOBILE_WITH_BATMAN_VTF05,Deep_Link,1,Deeplink
u2906454614237711328,2024-04-02T17:50:17Z,5,3,BUNZ_VD282,Free Gift,1,Free_Gift
u2602545257380898203,2024-04-02T17:50:31Z,2,0,FROG_CRAYON_VT019,Toy Scan,1,Toy_Scan
u5575479440928833020,2024-04-02T17:50:55Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2911911087870552516,2024-04-02T17:50:47Z,4,3,SCORPION_VEHICLE_VTD18,Toy Scan,0,QR_Code
u3042506806102114020,2024-04-02T17:51:07Z,2,1,BATMOBILE_WITH_BATMAN_VTF05,QR Code,0,Deeplink
u5449223945890580097,2024-04-02T17:51:17Z,5,3,FIBBER_VD280,Deep_Link,0,Deeplink
u2733646931798210399,2024-04-02T17:51:12Z,4,3,HIPPOPOTAMUS_VD300,Toy Scan,0,Toy_Scan
u6832054549424046904,2024-04-02T17:51:27Z,19,7,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u206105222177339015,2024-04-02T17:51:42Z,13,8,Shooting Star_VU117,Free Gift,1,Free_Gift
u8272781014400964858,2024-04-02T17:51:19Z,14,3,Fox_VU326,QR Code,1,QR_Code
u4079578444802625819,2024-04-02T17:51:34Z,2,0,MAGIC_BUTTERFLY_VV141,QR Code,1,QR_Code
u6658795640164579277,2024-04-02T17:51:47Z,1,0,KEYBOARD_PARROCK_VTB46,Deep_Link,1,Deeplink
u7492182829925572522,2024-04-02T17:51:59Z,1,0,CINDERELLA_VV417,Deep_Link,1,Deeplink
u965834014979981265,2024-04-02T17:52:06Z,2,0,ZEBRA_VV114,Free Gift,1,Free_Gift
u6658795640164579277,2024-04-02T17:52:09Z,1,1,ZEBRA_VV114,Free Gift,1,Free_Gift
u4357158922676557504,2024-04-02T17:52:24Z,7,3,PHASER_VD139,QR Code,1,QR_Code
u7492182829925572522,2024-04-02T17:52:33Z,1,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3145830342272965479,2024-04-02T17:33:26Z,3,2,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u8920461170138711751,2024-04-02T17:33:52Z,1,0,Sheep_VU320,Deep_Link,1,Deeplink
u5877663535645889148,2024-04-02T17:33:30Z,5,4,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u8619172887580942113,2024-04-02T17:33:51Z,1,0,BIRDIE_VD236A,Deep_Link,1,Deeplink
u7244460470846214455,2024-04-02T17:34:08Z,11,15,SEA_TURTLE_VD294,Toy Scan,1,Toy_Scan
u6285081649639622259,2024-04-02T17:34:27Z,1,0,VOYAGER_VD169,Deep_Link,1,Deeplink
u1801173812135141796,2024-04-02T17:34:33Z,14,7,Shooting Star_VU117,Free Gift,1,Free_Gift
u2389889546050668802,2024-04-02T17:34:26Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8920461170138711751,2024-04-02T17:34:29Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u7134590825402505949,2024-04-02T17:34:48Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5992669179887266056,2024-04-02T17:34:32Z,11,2,PENGUIN_VD303,Reward System,1,Reward_System
u6285081649639622259,2024-04-02T17:35:18Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u7134590825402505949,2024-04-02T17:35:18Z,2,1,BUNZ_VD282,Unknown,1,Unknown
u5589576201509086043,2024-04-02T17:35:42Z,1,0,YOUNG_GRU_DV597,Deep_Link,1,Deeplink
